Name,Code
BGF리테일,282330
CJ제일제당,097950
DRB동일,004840
E1,017940
HDC,012630
HD현대마린솔루션,443060
KPX홀딩스,092230
LG화학,051910
LIG넥스원,079550
NAVER,035420
NH투자증권,005940
OCI홀딩스,010060
SG글로벌,001380
SK,034730
SNT다이내믹스,003570
STX엔진,077970
경동나비엔,009450
국동,005320
국보,001140
극동유화,014530
남양유업,003920
대웅제약,069620
대원강업,000430
대원전선,006340
대한방직,001070
대한유화,006650
대한제분,001130
대한항공,003490
동성케미컬,102260
동원금속,018500
동원수산,030720
동원시스템즈,014820
동일고무벨트,163560
두산에너빌리티,034020
디아이동일,001530
디와이파워,210540
락앤락,115390
롯데케미칼,011170
보락,002760
보령,003850
사조대림,003960
삼성출판사,068290
삼성카드,029780
삼영,003720
삼원강재,023000
서연,007860
서울도시가스,017390
서원,021050
세아제강지주,003030
송원산업,004430
수산인더스트리,126720
신대양제지,016590
신세계건설,034300
아세아,002030
아세아제지,002310
아이마켓코리아,122900
아이에이치큐,003560
에쓰씨엔지니어링,023960
영풍,000670
오리온,271560
오리온홀딩스,001800
우성,006980
우진,105840
윌비스,008600
유니퀘스트,077500
이구산업,025820
인스코비,006490
제이알글로벌리츠,348950
종근당홀딩스,001630
진도,088790
진양산업,003780
진원생명과학,011000
천일고속,000650
케이비아이동국실업,001620
코람코라이프인프라리츠,357120
코오롱,002020
코웨이,021240
크라운해태홀딩스,005740
키움증권,039490
티비에이치글로벌,084870
티와이홀딩스,363280
한국자산신탁,123890
한국전자홀딩스,006200
한국종합기술,023350
한성기업,003680
한세엠케이,069640
한솔홀딩스,004150
한온시스템,018880
한일철강,002220
한창,005110
한화손해보험,000370
현대엘리베이터,017800
현대퓨처넷,126560
화성산업,002460
화승코퍼레이션,013520
화천기계,010660
휴스틸,005010
흥아해운,003280
GRT,900290
HLB생명과학,067630
HLB제약,047920
HLB테라퓨틱스,115450
KB제28호스팩,476470
LS마린솔루션,060370
LS머트리얼즈,417200
S&K폴리텍,091340
SAMG엔터,419530
SCL사이언스,246960
SGA솔루션즈,184230
SK증권제10호스팩,457940
SK증권제12호스팩,473000
SK증권제8호스팩,435870
TJ미디어,032540
iMBC,052220
