종목명,고유번호
삼성전자," '00126380',"
SK하이닉스," '00164779',"
LG에너지솔루션," '01515323',"
현대차," '00164742',"
삼성바이오로직스," '00877059',"
기아," '00106641',"
셀트리온," '00413046',"
POSCO홀딩스," '00155319',"
KB금융," '00688996',"
NAVER," '00266961',"
삼성SDI," '00126362',"
LG화학," '00356361',"
삼성물산," '00149655',"
신한지주," '00382199',"
포스코퓨처엠," '00155276',"
현대모비스," '00164788',"
카카오," '00258801',"
하나금융지주," '00547583',"
LG전자," '00401731',"
삼성화재," '00139214',"
삼성생명," '00126256',"
메리츠금융지주," '00860332',"
HMM," '00164645',"
한국전력," '00159193',"
LG," '00120021',"
삼성에스디에스," '00126186',"
두산에너빌리티," '00159616',"
크래프톤," '00760971',"
SK," '00181712',"
삼성전기," '00126371',"
HD현대중공업," '01390344',"
KT&G," '00244455',"
SK텔레콤," '00159023',"
기업은행," '00149646',"
카카오뱅크," '01133217',"
아모레퍼시픽," '00583424',"
한화에어로스페이스," '00126566',"
우리금융지주," '01350869',"
고려아연," '00102858',"
SK스퀘어," '01596425',"
HD현대일렉트릭," '01205851',"
SK이노베이션," '00631518',"
KT," '00190321',"
HD한국조선해양," '00164830',"
한화오션," '00111704',"
포스코인터내셔널," '00124504',"
하이브," '01204056',"
삼성중공업," '00126478',"
대한항공," '00113526',"
S-Oil," '00138279',"
DB손해보험," '00159102',"
현대글로비스," '00360595',"
SK바이오팜," '00878696',"
에코프로머티," '01311408',"
유한양행," '00145109',"
LG생활건강," '00356370',"
LS ELECTRIC," '00105855',"
포스코DX," '00155212',"
LG이노텍," '00105961',"
SKC," '00139889',"
두산밥캣," '01032486',"
한국타이어앤테크놀로지," '00937324',"
HD현대," '01205709',"
넷마블," '00904672',"
LG디스플레이," '00105873',"
한화솔루션," '00162461',"
CJ제일제당," '00635134',"
한국항공우주," '00309503',"
롯데케미칼," '00165413',"
금양," '00106119',"
LS," '00105952',"
삼성카드," '00126292',"
삼성E&A," '00126308',"
엔씨소프트," '00261443',"
삼양식품," '00126955',"
한진칼," '00983040',"
카카오페이," '01244601',"
LG유플러스," '00231363',"
코웨이," '00170558',"
금호석유," '00106368',"
미래에셋증권," '00111722',"
한국가스공사," '00261285',"
현대로템," '00302926',"
NH투자증권," '00120182',"
SK바이오사이언스," '01319899',"
현대제철," '00145880',"
GS," '00500254',"
한미약품," '00828497',"
한국금융지주," '00432102',"
LIG넥스원," '00503668',"
CJ," '00148540',"
현대건설," '00164478',"
오리온," '01238169',"
키움증권," '00296290',"
강원랜드," '00255619',"
삼성증권," '00104856',"
두산," '00117212',"
한화시스템," '00339391',"
쌍용C&E," '00138224',"
SK아이이테크놀로지," '01386916',"
대한전선," '00113207',"
현대해상," '00164973',"
HD현대미포," '00164609',"
농심," '00108241',"
아모레G," '00154462',"
F&F," '01568413',"
한전기술," '00159209',"
BNK금융지주," '00858364',"
한온시스템," '00161125',"
KCC," '00105271',"
롯데지주," '00120562',"
JB금융지주," '00980122',"
한화생명," '00113058',"
휠라홀딩스," '00195229',"
팬오션," '00122737',"
HL만도," '01042775',"
CJ대한통운," '00113410',"
롯데에너지머티리얼즈," '00113997',"
호텔신라," '00165680',"
한미사이언스," '00161426',"
에스원," '00158501',"
GS리테일," '00140177',"
제일기획," '00148276',"
금호타이어," '00481454',"
씨에스윈드," '00670340',"
BGF리테일," '01263022',"
한솔케미칼," '00140955',"
동서," '00144395',"
OCI홀딩스," '00148896',"
코스맥스," '01009789',"
한화," '00160588',"
롯데쇼핑," '00120526',"
DB하이텍," '00160843',"
이마트," '00872984',"
풍산," '00684714',"
에스엘," '00125521',"
한올바이오파마," '00162586',"
오뚜기," '00141529',"
세방전지," '00133858',"
현대위아," '00106623',"
현대엘리베이," '00164724',"
신세계," '00136378',"
TCC스틸," '00117300',"
한국앤컴퍼니," '00160047',"
효성첨단소재," '01316254',"
효성티앤씨," '01316227',"
롯데웰푸드," '01258507',"
한국콜마," '00939331',"
영원무역," '00776820',"
한전KPS," '00159218',"
대우건설," '00124540',"
두산퓨얼셀," '01412725',"
HD현대인프라코어," '00344287',"
하이트진로," '00150244',"
삼아알미늄," '00126779',"
녹십자," '00129679',"
GS건설," '00120030',"
한샘," '00161693',"
동원시스템즈," '00132637',"
대웅제약," '00427483',"
DGB금융지주," '00878915',"
종근당," '00992871',"
DL이앤씨," '01524093',"
KG모빌리티," '00138242',"
SK네트웍스," '00131780',"
DL," '00109693',"
영원무역홀딩스," '00140964',"
LX인터내셔널," '00120076',"
코스모화학," '00160302',"
현대백화점," '00428251',"
롯데정밀화학," '00157681',"
효성," '00117188',"
롯데칠성," '00120571',"
덴티움," '00526599',"
에스디바이오센서," '00854997',"
코오롱인더," '00795135',"
대한유화," '00260383',"
한일시멘트," '01319808',"
SK케미칼," '01267170',"
대웅," '00111810',"
일진하이솔루스," '00972503',"
오리온홀딩스," '00117577',"
율촌화학," '00145260',"
더블유게임즈," '01010110',"
하나투어," '00269940',"
PI첨단소재," '00767460',"
GKL," '00557508',"
한세실업," '00728638',"
후성," '00595191',"
TKG휴켐스," '00426086',"
롯데관광개발," '00231372',"
아시아나항공," '00138792',"
신풍제약," '00137359',"
KG스틸," '00115676',"
아이에스동서," '00115977',"
명신산업," '00173078',"
대상," '00121941',"
세아베스틸지주," '00106669',"
영풍," '00141307',"
녹십자홀딩스, '00108135'
